_id,full_name,gender,dob,phone_number,email,qualification,department,category,date_of_joining,experience_in_years,aadhar_number,address,city,state,pin_code,emergency_contact,photo_url,designation
T001,Tanya Shetty,Male,1969-08-31,07535388179,dubemohanlal@hotmail.com,MCA,English,Non-Teaching,2011-10-11,20,201494489788,"H.No. 07, Sharma Street, Aurangabad-055994",Gangtok,Madhya Pradesh,027965,06574595621,https://randomuser.me/api/portraits/men/1.jpg,Librarian
T002,Prisha Tara,Male,1984-04-02,1691667747,neelofar47@som-rege.com,B.A,English,Teaching,2007-04-23,2,640122330962,"947, Bava Nagar, Bokaro 201326",Indore,Gujarat,703996,05689346259,https://randomuser.me/api/portraits/men/2.jpg,Principal
T003,Hunar Barad,Male,1968-06-22,+910537091454,vardaniya06@gmail.com,B.Ed,English,Teaching,2016-03-10,22,344004876327,"599, Borra Zila, Kochi-831830",Bellary,Meghalaya,534077,+911599754766,https://randomuser.me/api/portraits/men/3.jpg,PGT
T004,Ivana Varma,Female,1978-10-12,07565036655,dubebhamini@raman-rattan.com,MBA,IT,Teaching,2022-05-24,21,470101941621,"H.No. 57, Konda Path, Malda-105013",Hindupur,Bihar,597568,6451753324,https://randomuser.me/api/portraits/women/4.jpg,TGT
T005,Shlok Ganguly,Male,1975-11-11,00285112991,lyadav@gmail.com,M.A,English,Teaching,2019-01-31,22,796140366180,"H.No. 46, Thaman Nagar, Tenali 291658",Vijayawada,Meghalaya,035904,9630694961,https://randomuser.me/api/portraits/men/5.jpg,Principal
T006,Yashvi Kadakia,Male,1982-10-03,2300761325,darshitarya@hotmail.com,PhD,Finance,Non-Teaching,2020-05-01,7,756882315626,"H.No. 53, Sood Zila, Nandyal-364600",Kota,Madhya Pradesh,727704,00808871981,https://randomuser.me/api/portraits/men/6.jpg,Transport Manager
T007,Saksham Borah,Female,1986-11-06,5083506925,mandseher@hotmail.com,B.A,Library,Non-Teaching,2017-02-26,4,797999353490,"H.No. 30, Sura Chowk, Chittoor 449872",Malda,Arunachal Pradesh,559307,2167414499,https://randomuser.me/api/portraits/women/7.jpg,Transport Manager
T008,Nirvi Krishna,Male,1999-01-04,1387962332,rasha88@uppal-brahmbhatt.com,B.Sc,Math,Non-Teaching,2018-10-10,15,868287006967,"H.No. 284, Ratti Street, Etawah 284244",North Dumdum,Meghalaya,595002,01805237263,https://randomuser.me/api/portraits/men/8.jpg,Fee Clerk
T009,Dhanush Mahal,Male,1970-10-27,+919393466867,anahi43@bassi-sahni.com,B.Sc,Library,Non-Teaching,2015-04-15,1,716580616480,"44/33, Biswas Street, Jamnagar-141884",Madanapalle,Maharashtra,243324,04928472468,https://randomuser.me/api/portraits/men/9.jpg,Transport Manager
T010,Shlok Sethi,Male,1996-07-14,+916648276245,yuvraj-char@dyal-dalal.org,PhD,Library,Teaching,2020-05-30,8,814071805662,"65/13, Dayal Path, Shivpuri-920670",Ghaziabad,Uttarakhand,935303,+917666701321,https://randomuser.me/api/portraits/men/10.jpg,HOD
