_id,first_name,last_name,DOB,gender,aadhar_number,email,father_name,mother_name,father_number,mother_number,admission_date,photo_url,is_active,address_permanent,address_correspondence,city,state,zip_code
S001,Alisha,Jaggi,2018-01-15,Male,651513904503,majumdarkrish@yahoo.com,Amira Loke,Hrishita Choudhary,6076104826,04716771054,2021-01-06,https://randomuser.me/api/portraits/men/1.jpg,True,"40, Bahl Road, Pudukkottai-015540","37/613, Varty Marg, Gudivada 369819",Bettiah,Sikkim,932338
S002,Dishani,Seth,2016-03-12,Female,827321922797,ushetty@khanna.biz,Navya Wali,Neysa Bhagat,+917982176384,+917552171580,2023-11-27,https://randomuser.me/api/portraits/women/2.jpg,True,"72, Brahmbhatt, Muzaffarnagar 942585","405, Borra Circle, Akola 759374",Kurnool,Punjab,938860
S003,Manikya,Tailor,2019-09-13,Female,459227874058,urvi50@yahoo.com,Damini Golla,Aaina Kaur,02074512787,+914432541704,2022-12-01,https://randomuser.me/api/portraits/women/3.jpg,True,"240, Lalla Ganj, Dehradun-913333","995, Swaminathan Marg, Panipat-341291",South Dumdum,Jharkhand,503491
S004,Madhav,Balan,2017-05-07,Female,675277880323,tanya31@dubey.com,Vedika Konda,Siya Balakrishnan,+914021839110,+917468813746,2023-05-25,https://randomuser.me/api/portraits/women/4.jpg,True,"87, Anand Nagar, Firozabad-071645","92, Sur Nagar, Indore-851932",Bally,Haryana,831847
S005,Kashvi,Kurian,2016-12-09,Female,398729240305,vohraaniruddh@gmail.com,Samar Saxena,Advik Ben,+913536947822,04483475402,2024-08-27,https://randomuser.me/api/portraits/women/5.jpg,True,"H.No. 325, Kakar Circle, Bidar-850629","H.No. 209, Ratta Road, Pali-981569",Khora ,Madhya Pradesh,752696
S006,Sana,Mandal,2016-03-07,Female,632181134631,mandmyra@gmail.com,Tejas Yadav,Dhruv Vala,+919471818090,6015765474,2022-03-10,https://randomuser.me/api/portraits/women/6.jpg,True,"78/228, Chaudry Marg, Rohtak-357590","22/54, Keer Ganj, Bhavnagar 619365",Tiruppur,Manipur,870436
S007,Emir,Doctor,2015-06-27,Female,469069292486,ivanabhagat@venkataraman.com,Rati Iyengar,Ivan Roy,5980371323,3127163441,2022-07-11,https://randomuser.me/api/portraits/women/7.jpg,True,"86, Sule Marg, Agra-340960","H.No. 187, Basak Path, Aurangabad-564540",Eluru,Sikkim,783306
S008,Jhanvi,Sengupta,2006-10-09,Female,546256713123,lakshay75@rama.com,Himmat Bumb,Kabir Ramaswamy,7570605165,8911239408,2024-06-12,https://randomuser.me/api/portraits/women/8.jpg,True,"69, Chaudhary Nagar, Gulbarga-385749","H.No. 20, Borah Marg, Khammam-785355",Moradabad,Andhra Pradesh,867960
S009,Samaira,Sani,2017-10-28,Male,954884923158,balikiaan@solanki.org,Indranil Sura,Mehul Samra,2339531898,+919166104731,2024-12-15,https://randomuser.me/api/portraits/men/9.jpg,True,"H.No. 74, Babu Path, Bharatpur-500383","H.No. 551, Varty Ganj, Noida-451693",Chittoor,Goa,378637
S010,Romil,Varkey,2010-08-07,Male,942637806419,zaina38@dada.com,Anvi Dube,Anya Soman,+910882915086,+913440757521,2025-01-31,https://randomuser.me/api/portraits/men/10.jpg,True,"92/88, Sura Zila, Sagar-654763","61/94, Mahal Path, Latur 263071",Barasat,Uttarakhand,077543
S011,Bhamini,Mand,2016-10-16,Male,305770155180,yasmin32@yahoo.com,Divij Som,Anya Baria,9554941364,4261087332,2021-06-11,https://randomuser.me/api/portraits/men/11.jpg,True,"31/19, Cheema Path, Jabalpur 318632","55/66, Luthra Road, Bhimavaram 789576",Danapur,Sikkim,997757
S012,Baiju,Tank,2007-11-04,Female,688218947142,gwalia@madan.net,Amani Krish,Kavya Anand,+912825093741,7548185985,2021-05-25,https://randomuser.me/api/portraits/women/12.jpg,True,"93/187, Krishna Circle, Agartala 088997","71, Suri Road, Guntur 489383",Motihari,Haryana,757562
S013,Yasmin,Agrawal,2017-06-29,Female,530169266290,hansrania@hotmail.com,Saksham Bajwa,Samaira Sastry,02689266804,+919562992861,2024-05-01,https://randomuser.me/api/portraits/women/13.jpg,True,"H.No. 06, Ram Zila, Hubli–Dharwad 664958","525, Borde Marg, Dibrugarh-941654",Madanapalle,Haryana,869127
S014,Raghav,Rajagopalan,2016-04-10,Female,509089088620,gulatiranbir@jhaveri.biz,Rati Iyer,Samiha Johal,04226565255,+919699480926,2022-06-05,https://randomuser.me/api/portraits/women/14.jpg,True,"28/87, Char Zila, Bokaro-557461","H.No. 777, Batta Path, Alappuzha-001529",Berhampore,Uttarakhand,838116
S015,Shamik,Mahal,2007-05-11,Male,341563246643,nakul34@ramaswamy.info,Umang Gopal,Shlok Sastry,08410469052,08735953530,2021-07-01,https://randomuser.me/api/portraits/men/15.jpg,True,"H.No. 618, Doctor Street, Erode-439843","H.No. 916, Khalsa Zila, Bidhannagar-761883",Bettiah,Gujarat,572417
S016,Anika,Andra,2013-02-11,Male,999271654739,sheredhanuk@dhawan.com,Miraya Balakrishnan,Shayak Dewan,1892240978,6439672923,2022-03-24,https://randomuser.me/api/portraits/men/16.jpg,True,"H.No. 68, Ahuja Chowk, Udaipur 549725","987, Seth Nagar, Nashik 984386",Nashik,Haryana,167916
S017,Indranil,Ray,2010-12-07,Female,416338125187,vidur81@hayre.com,Parinaaz Issac,Zeeshan Varughese,+918237117266,09689913500,2021-03-27,https://randomuser.me/api/portraits/women/17.jpg,True,"99/580, Loke, Agartala-893131","782, Chatterjee Zila, Davanagere-305333",Vadodara,Odisha,938412
S018,Nishith,Joshi,2013-12-12,Female,401381882029,kuruvillaaarna@bedi.com,Himmat Dara,Raghav Singhal,+918021574200,3205882361,2022-06-25,https://randomuser.me/api/portraits/women/18.jpg,True,"79/347, Wason Circle, Tadepalligudem-183013","89/324, Bandi Chowk, Junagadh 616448",Gopalpur,Sikkim,072144
S019,Ehsaan,Lall,2013-04-23,Male,228736125000,miraan03@shan.com,Manjari Sha,Nayantara Sibal,+919043868545,6675587118,2023-12-20,https://randomuser.me/api/portraits/men/19.jpg,True,"H.No. 15, Gopal Ganj, Jaipur 768847","28/84, Chhabra Chowk, Mangalore 569860",Anantapur,Gujarat,207948
